Species,GeneID,GeneName,Elements,Citation(s) - DOI only,Closest species orthologs,Tissue,Comments
A.thaliana,AT5G20650,COPT5,Cu,10.1111/j.1469-8137.2011.03798.x,,"Shoots,Root,Seeds",NA
A.thaliana,AT5G35410,SOS2,Na,10.1371/journal.pone.0063014,,seeds,NA
A.thaliana,AT5G42130,Mfl1,Fe,10.1016/j.plaphy.2011.02.003,,"Leaves,shoots",NA
A.thaliana,AT5G43350,PHT1;1,"P,As",10.1111/j.1365-313X.2004.02161.x;10.1105/tpc.106.041871,,Shoots,PT1
A.thaliana,AT5G44070,PCS1,"Zn,Cd,As",10.1093/pcp/pcw148;10.1016/j.chemosphere.2008.04.018,NA,Leaf,CAD1
A.thaliana,AT5G53130,CNGC1,Pb,10.1046/j.1365-313x.2000.00901.x,NA,Leaf,NA
A.thaliana,AT5G53550,YSL3,"Fe,Zn,Cu",10.1104/pp.110.90033,NA,NA,NA
A.thaliana,AT5G54680,ILR3,"Cd,Co,Fe,Mn,Zn",10.1534/genetics.106.061044,NA,Leaf,NA
A.thaliana,AT5G54810,TSB1,Cd,10.1111/j.1365-3040.2008.01819.x,,"Roots,shoots",NA
A.thaliana,AT5G57620,MYB36,"Li, B, Na, Mg, K, Ca, Mn, Fe, Co, Ni, Cu, Zn, Rb, Sr, Mo, Cd",10.1073/pnas.1507691112,NA,Shoots,NA
A.thaliana,AT5G59030,COPT1,Cu,10.1074/jbc.M313321200,,"Seed,Leaf",NA
A.thaliana,AT5G64930,CPR5,K,10.1371/journal.pone.0026360,NA,Leaf,NA
A.thaliana,AT5G67330,NRAMP3,"Fe,Mn,Zn",10.1104/pp.109.150946,NA,Shoots,NA
M.truncatula,Medtr1g010270,MOT1.2,Mo,10.1111/pce.13388,NA,Nodules,NA
M.truncatula,Medtr3g088460,NRAMP1,Fe,10.1104/pp.114.254672,NA,Nodules,NA
M.truncatula,Medtr3g464210,MOT1.3,Mo,10.1111/nph.14739,NA,Nodules,NA
M.truncatula,Medtr4g019870,COPT1,Cu,10.1111/nph.14992,NA,Nodules,NA
M.truncatula,Medtr4g064893,MTP2,Zn,10.3389/fpls.2018.00990,NA,Nodules,NA
M.truncatula,Medtr4g083570,ZIP6,Zn,10.1111/pce.13035,NA,Nodules,NA
O.sativa,LOC_Os01g03914,MTP9,Mn,10.1038/nplants.2015.170,NA,Shoots,NA
O.sativa,LOC_Os01g08300,CDT3,Al,10.1111/tpj.12296,,Roots,NA
O.sativa,LOC_Os01g20160,HKT1;5,Na,10.1111/tpj.13595,,"Leaf, shoots",Previously HKT8
O.sativa,LOC_Os01g45990,AKT1,K,10.1093/jxb/erw103,NA,NA,NA
O.sativa,LOC_Os01g64250,HORZ1,Fe,10.1038/ncomms3792,NA,"Shoots, seeds",NA
O.sativa,LOC_Os01g64890,MGT1,"Mg,Na",10.1104/pp.17.00532,,"Roots,Shoots",NA
O.sativa,LOC_Os02g03900,NRAMP4,Al,10.1073/pnas.1004949107,,Roots,Paper uses Nrat1 gene name
O.sativa,LOC_Os02g06290,HAC4,As,10.1111/nph.14572,NA,Seed,NA
O.sativa,LOC_Os02g10290,HMA4,Cu,10.1038/ncomms12138,NA,"Roots,shoots,seeds",NA
O.sativa,LOC_Os02g13870,NIP1;1,As,10.1111/nph.15190,,Shoots,NA
O.sativa,LOC_Os02g43370,YSL2,"Fe,Mn",10.1111/j.1365-313X.2010.04158.x,NA,Seeds,NA
O.sativa,LOC_Os02g43410,YSL15,Fe,10.1104/pp.109.135418,NA,"Roots,shoots,seeds",NA
